No ,File Pick ,Event,Tahun ,Bulan,Hari,Jam,Menit,Detik,Longitude,Latitude,Depth,ErrLon (km),ErrLat (km),ErrH,ErrDepth (km),Mag_Old,Jenis Mag,Mag > SNR 0.5,RMS,Mag >SNR 0.3,RMS,Mag >SNR 0.1,RMS
24,20240110_230353.2.pick ,20240110_230353.2,2024,1,10,23,3,53.23555,107.420508,-7.180244,0.355655,0.303777427,0.435393049,0.369585238,0.454887898,1.880022,Mw,0.072,5.242986564419277e-05,-0.148669506826076,3.493029992630923e-05,0.720773682525315,0.5122340322870035
26,20240111_173438.5.pick ,20240111_173438.5,2024,1,11,17,34,38.576872,107.408218,-7.179746,-0.072173,0.583137196,0.5100541,0.546595648,0.565500663,0.970786,Mw,-,-,-,-,-1.69839990439686,9.975088671077008e-08
35,20240114_052855.3.pick,20240114_052855.3,2024,1,14,5,28,55.324943,107.456691,-7.173173,-2.040179,0.956983253,0.658380898,0.807682075,0.837833516,2.384524,Mw,-0.289,3.091064584843776e-05,-0.289941822102427,3.091064584843776e-05,0.536744084070952,0.5504579186779959
37,20240114_073516.pick   ,20240114_073516,2024,1,14,7,35,16.036603,107.437732,-7.175303,-0.622768,0.271365129,0.23196809,0.25166661,0.911519062,2.444993,Mw,-0.12,0.0001865628048347679,-0.1222192042985,0.0001865628048347679,-0.1222192042985,0.0001865628048347679
40,20240114_172311.2.pick   ,20240114_172311.2,2024,1,14,17,23,11.283964,107.444081,-7.161932,0.058036,1.073201285,0.271357375,0.67227933,0.398457024,1.764917,Mw,-,-,-0.537466250089421,1.013252247532737e-05,-0.537466250089421,1.013252247532737e-05
41,20240114_172713.3.pick  ,20240114_172713.3,2024,1,14,17,27,13.355071,107.425031,-7.173944,-0.124256,0.107626082,0.104914081,0.106270082,0.238747565,1.117526,Mw,-0.58,2.181885542804426e-05,-0.587648416768394,2.181885542804426e-05,-0.888927477310729,1.040648618030808e-05
46,20240115_001618.7.pick ,20240115_001618.7,2024,1,15,0,16,18.75968,107.413929,-7.181513,-1.058036,0.119898618,0.102447246,0.111172932,0.514921353,1.558963,Mw,-,-,-0.397653666112804,1.558647012546371e-05,-0.397653666112804,1.558647012546371e-05
47,20240115_075233.6.pick ,20240115_075233.6,2024,1,15,7,52,33.610819,107.446687,-7.18029,0.098958,0.220638189,0.149440198,0.185039194,0.149197185,2.786613,Mw,-0.224,0.0001809396000820909,-0.224723961489484,0.0001809396000820909,0.586673234993186,0.6504778383204467
50,20240115_193859.8.pick,20240115_193859.8,2024,1,15,19,38,59.865212,107.440887,-7.214785,5.854167,1.446683436,1.750951221,1.598817329,1.492588356,2.848329,Mw,-,-,-,-,-,-
52,20240118_165122.9.pick  ,20240118_165122.9,2024,1,18,16,51,22.936045,107.413746,-7.180788,0.102679,0.126249091,0.252881592,0.189565342,0.221062435,1.974555,Mw,0.196,4.541656432182972e-05,-0.243545754035565,1.530697738159235e-05,-0.243545754035565,1.530697738159235e-05
54,20240120_072726.1.pick ,20240120_072726.1,2024,1,20,7,27,26.142069,107.417493,-7.179972,-0.03869,0.162332293,0.169609859,0.165971076,0.223954236,1.643351,Mw,-1.334,5.778798596346835e-07,-0.661831077929249,2.684096063318824e-05,-0.661831077929249,2.684096063318824e-05
55,20240120_073201.8.pick  ,20240120_073201.8,2024,1,20,7,32,1.813759,107.418087,-7.181196,-0.265625,0.098525106,0.093166174,0.09584564,0.217653854,1.821333,Mw,-,-,-,-,-1.3001818952194,6.775464908550595e-07
58,20240121_105519.2.pick ,20240121_105519.2,2024,1,21,10,55,19.223907,107.43563,-7.176119,-0.258185,0.155318512,0.163782904,0.159550708,0.246552226,1.564381,Mw,0.274,0.0007217996897631516,0.274778570532187,0.0007217996897631516,1.16293684592925,4.122837220980561
